ID,INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,SPECIES_ID,SPECIES_GROUP,SPECIES,DAMAGE,INCIDENT_YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE_OF_FLT,BIRDS_STRUCK,SIZE
12,3/22/16 0:00,WA,KBVS,SKAGIT REGIONAL,PVT,PRIVATELY OWNED,K3302,Bird,Red-tailed hawk,M?,2016,Day,1330,1500,135,Climb,1,Medium
13,3/20/16 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),PVT,PRIVATELY OWNED,UNK,Bird,,,2016,Dusk,1730,0,0,Take-off run,,
14,3/19/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,R2004,Bird,Short-eared owl,N,2016,,,0,0,Landing Roll,1,Small
15,3/11/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,Z6007,Bird,American robin,,2016,,,0,0,,1,Small
16,3/9/16 0:00,WA,KKLS,SOUTHWEST WASHINGTON REGIONAL ARPT,BUS,BUSINESS,NE1,Bird,Gulls,N,2016,Day,805,4,97,Climb,1,Medium
17,3/4/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKB,Bird,Unknown bird,N,2016,,,0,0,Approach,1,
18,3/3/16 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,J2109,Bird,Mallard,,2016,,,0,0,,1,Medium
19,3/3/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K3302,Bird,Red-tailed hawk,,2016,,,0,0,,1,Medium
20,3/1/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,FFT,FRONTIER AIRLINES,NE1,Bird,Gulls,S,2016,Day,1500,30,0,Climb,1,Medium
21,3/1/16 0:00,WA,KOLM,OLYMPIA ARPT,GOV,GOVERNMENT,NE1,Bird,Gulls,N,2016,Day,1410,0,110,Landing Roll,1,Medium
22,2/29/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,J2109,Bird,Mallard,,2016,,,0,0,,10-Feb,Medium
23,2/24/16 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,UNK,UNKNOWN,K5114,Bird,American kestrel,,2016,,,0,0,,1,Small
24,2/21/16 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,J2150,Bird,Barrow's goldeneye,,2016,,,0,0,,1,Medium
25,2/21/16 0:00,WA,KBLI,BELLINGHAM INTL,AAY,ALLEGIANT AIR,K3302,Bird,Red-tailed hawk,N,2016,Day,1700,0,125,Landing Roll,10-Feb,Medium
26,2/19/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UPS,UPS AIRLINES,J2109,Bird,Mallard,N,2016,Night,418,20,0,Approach,10-Feb,Medium
27,2/12/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,1D21,Bird,Eastern cottontail,,2016,,,0,0,,1,Medium
28,2/11/16 0:00,WA,KRNT,RENTON MUNICIPAL ARPT,BUS,BUSINESS,UNKB,Bird,Unknown bird,N,2016,Night,,0,0,Taxi,1,
29,2/10/16 0:00,WA,KMWH,GRANT COUNTY ARPT,UNK,UNKNOWN,O2111,Bird,Rock pigeon,,2016,,,0,0,,1,Small
30,2/8/16 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,AMF,AMERIFLIGHT,UNKB,Bird,Unknown bird,N,2016,Dusk,1748,1600,180,Climb,1,
31,1/31/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,O2111,Bird,Rock pigeon,,2016,,,0,0,,1,Small
32,1/29/16 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,L4302,Bird,Gray partridge,,2016,,,0,0,,1,Small
