INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
3/22/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BUS,BUSINESS,PA-28,A,K2001,Osprey,M?,,729,23,7,10,A,1,1,7,,,,N9038K,,TRUE,TRUE,3,2016,Day,1129,ANM,,13R,,1000,90,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Some Cloud,None,,1,Large,Y,"xxxx-x-xx-xxxxxx, Rx, FAA DAILY ALERT BULLETIN, ASIAS OPERATOR /OWNER = CORVUS AVIATION LLC","ENTERING LEFT DOWNWIND., IN PATTERN FOR LANDING. STRUCK L/E LT WING WHICH WAS BADLY DENTED. PRELIMINARY ESTIMATES UNKNOWN AT TIME OF REPORT.",,,,,Deleted,Deleted,,Multiple,Tower,,,9/1/16 0:00,FALSE,TRUE
3/22/16 0:00,WA,KBVS,SKAGIT REGIONAL,PVT,PRIVATELY OWNED,PA-32,A,K3302,Red-tailed hawk,M?,1000,729,26,7,31,A,1,1,7,,,,N9236V,,TRUE,TRUE,3,2016,Day,1330,ANM,,11,,1500,135,6,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,None,,Overcast,None,10-Feb,1,Medium,N,"xxxx-x-xx-xxxxxx, Rx OPERATOR /OWNER = JOHN C SPENCER","FELT A BUMP, NO EFFECT ON PERFORMANCE SO CONTINUED FLIGHT. UPON LANDING FOUND TIP OF PILOT-SIDE STABILATOR DAMAGED.",,,949,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,9/1/16 0:00,FALSE,TRUE
3/20/16 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),PVT,PRIVATELY OWNED,C-172,A,UNK,,,,226,7,13,1,A,1,1,7,,,,N8119U,,FALSE,FALSE,3,2016,Dusk,1730,ANM,,,,0,,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Aborted Take-off,,,,,,,,FAA DAILY ALERT BULLETIN OPERTOR /OWNER = KING CHI WONG,NO BIRDS STRUCK BUT EFFECT ON FLIGHT. A/C WAS CLEARED FOR T/O AND MIDWAY DOWN THE RWY ABORTED T/O AND EXITED THE RWY DUE TO A FLOCK OF BIRDS IN THE GRASS ON THE W END OF THE RWY. A/C TAXIED TO THE OTHER RWY AND DEPARTED W/O ISSUE. ARFF NOTIFIED AND BIRDS WERE HAZED.,,,,,Deleted,Deleted,,Daily Report,Tower,,,9/1/16 0:00,FALSE,FALSE
3/19/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,DHC8 DASH 8,C,R2004,Short-eared owl,N,,303,10,31,10,A,3,2,4,4,,,,239,TRUE,FALSE,3,2016,,,ANM,,16R,,0,,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,1,Small,,"xxxx-x-xx-xxxxxx, Rx, FA DAILY ALERT BULLETIN",FOD RECOVERY FROM SURFACE. ADVISED HE WAS EXITING THE RWY THEY MAY HAVE HIT A BIRD AT T/D ON RWY 16R. ADVISORIES ISSUED TO SUBSEQ ARRIVALS AND OPS DISPATCHED TO PERFORM FOD CK. OPS FOUND A BARN OWL AND REMOVED IT FROM THE RWY. PILOT CALLED BACK ADND ADVISED NO DMG. THEY DID NOT FIND IMPACT POINT ON A/C.,,,,,Deleted,Deleted,,Multiple,Tower,,,9/1/16 0:00,FALSE,FALSE
3/11/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,Z6007,American robin,,,,,,,,,,,,,,,,TRUE,TRUE,3,2016,,,ANM,,16R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,"xxxx-x-xx-xxxxxx, Rx","0058 NIGHT. ""ONLY FEATHERS FOUND. NO STRIKE REPORTED. POORLY COMPLETED REPORT. NO OTHER INFO"".",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,9/1/16 0:00,FALSE,FALSE
3/9/16 0:00,WA,KKLS,SOUTHWEST WASHINGTON REGIONAL ARPT,BUS,BUSINESS,C-560,D,NE1,Gulls,N,,226,45,31,20,A,1,2,5,5,,,N230JK,,FALSE,FALSE,3,2016,Day,805,ANM,,12,,4,97,0,Climb,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,None,11-100,1,Medium,N,xxxx-x-xx-xxxxxx OPERATOR /OWNER = BLUE HERON AVIATION INC,,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Air Transport Operations,,,9/1/16 0:00,FALSE,FALSE
3/4/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,UNKB,Unknown bird,N,,148,48,10,1,A,4,2,1,1,,,,7545,FALSE,FALSE,3,2016,,,ANM,,,,,,13,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,1,,,FAA DAILY ALERT BULLETIN,REPORTED A BIRDSTRIKE TURNING 13 MILE FINAL. PILOT DID NOT REQUEST ASSISTANCE OR REPORT DMG. TOWER NOTIFIED.,,,,,Deleted,Deleted,,Daily Report,Tower,,,9/1/16 0:00,FALSE,FALSE
3/3/16 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,,,,,,,,,,,,,,,,TRUE,FALSE,3,2016,,,ANM,,16R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-x-xx-xxxxxx,1800 DUSK. ARFF FOUND PARTIAL CARCASS DURING PM RWY INSPN. PARTIALLY CONSUMED CARCASS MAY HAVE BEEN OUT THERE AWHILE BUT COULD NOT CONFIRM. NO STRIKE REPORTED TO ATCT.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,9/1/16 0:00,FALSE,FALSE
3/3/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,K3302,Red-tailed hawk,,,,,,,,,,,,,,,,TRUE,FALSE,3,2016,,,ANM,,,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-x-x-xxxxxx,930 DAY. ADULT RED-TAILED HAWK FOUND ON TWY. IT WAS BEING SCAVENGED BY A JUVENILE BALD EAGLE. POSSIBLY AN EAGLE KILL BUT CAN NOT EXCLUDE AS A STRIKE DUE TO INTERNAL TRAUMA FOUND ON NECROPSY. NO AIRLINE REPORT.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,9/1/16 0:00,FALSE,FALSE
3/1/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,FFT,FRONTIER AIRLINES,A-319,D,NE1,Gulls,S,,04A,6,10,1,A,4,2,1,1,,,N932FR,,TRUE,TRUE,3,2016,Day,1500,ANM,,16L,,30,,0,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,Some Cloud,None,11-100,1,Medium,,"xxxx-x-x-xxxxxx, Rx, FAA DAILY ALERT BULLETIN","PILOT REPORTED SEEING 10-15 GULLS FLYING ACROSS THE RWY AT ROTATION ON T/O RUN. LOUD IMPACT HEARD ON #1 ENGINE, SMELL OF BIRNING IN COCKPIT AND ENGINE VIBRATIONS FELT. A/C RETURNED TO KSEA AND MADE A PRECAUTIONARY LANDING. EVID OF INGESTION. REMAIN SSENT TO SI FOR ID. OUTLET GUIDE VANE, COMPRESSOR BLADES REPLACED.",22,,,,Deleted,Deleted,,Multiple,Tower,,,9/1/16 0:00,FALSE,TRUE
